Time: 2026-06-25 20:20:46
Log Dir: logs/2026-06-25_20-20-46/GeFL_DDPM_baseline_total
================================================================================

==============================        Args        ==============================
  exp_timestamp: None
  exp_conf: ./configs/het-iid-exp.yaml
  device: cuda:1
  seed: 15698
  algorithm: GeFL_DDPM_baseline_total
  num_new_clients: 1
  num_train_mnist: 10
  num_train_emnist: 10
  num_train_fashionmnist: 0
  num_train_cifar10: 10
  num_train_cifar100: 0
  num_train_usps: 0
  label_mapping: independent
================================================================================
==============================    Exp Configs     ==============================
exp_name: model-heterogeneity
heterogeneous: true
dirichlet_alpha: 100
global_rounds: 50
local_epochs: 1
local_loss_fn: CrossEntropyLoss
local_optim: Adam
local_lr: 0.001
batch_size: 64
sample_frac: 1.0
test_interval: 1
metric_type: accuracy
global_feature_dim: 256
optim: Adam
optim_lr: 0.001
global_gen_epochs: 10
gen_noise_dim: 128
gen_optim: Adam
gen_optim_lr: 0.001
n_feat: 32
ddpm_guide_w: 1.0
global_feat_gen_epochs: 10
feat_gen_noise_dim: 128
feat_gen_optim: Adam
feat_gen_optim_lr: 0.001
feat_gen_div_beta: 1.0
public_data_ratio: 0.05
start_mapping_epoch: 10
gen_observer_weight: 0.0
index_matching: ddpm
aggregate_method: dataset_name
use_new_entropy_method: false
entropy_ratio: 0.75
cs_threshold: 0.9
global_model_epochs: 5
global_model_optim: Adam
global_model_optim_lr: 0.001
global_samples_per_class: 64

================================================================================

==================================================
Start 50 rounds training by GeFL_DDPM_baseline_total
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 1 ---
Client 0 (MNIST) | Target Loss: 1.0013 | DDPM Loss: 0.1966
Client 1 (MNIST) | Target Loss: 1.4426 | DDPM Loss: 0.1870
Client 2 (MNIST) | Target Loss: 0.7951 | DDPM Loss: 0.2019
Client 3 (MNIST) | Target Loss: 0.4565 | DDPM Loss: 0.1901
Client 4 (MNIST) | Target Loss: 1.5859 | DDPM Loss: 0.1901
Client 5 (MNIST) | Target Loss: 1.7109 | DDPM Loss: 0.2065
Client 6 (MNIST) | Target Loss: 1.2272 | DDPM Loss: 0.1883
Client 7 (MNIST) | Target Loss: 1.7072 | DDPM Loss: 0.1990
Client 8 (MNIST) | Target Loss: 1.6968 | DDPM Loss: 0.2048
Client 9 (MNIST) | Target Loss: 2.0543 | DDPM Loss: 0.2167
Client 11 (EMNIST) | Target Loss: 1.2242 | DDPM Loss: 0.0410
Client 12 (EMNIST) | Target Loss: 1.3533 | DDPM Loss: 0.0421
Client 13 (EMNIST) | Target Loss: 0.9240 | DDPM Loss: 0.0417
Client 14 (EMNIST) | Target Loss: 0.7809 | DDPM Loss: 0.0423
Client 15 (EMNIST) | Target Loss: 1.4873 | DDPM Loss: 0.0414
Client 16 (EMNIST) | Target Loss: 2.1002 | DDPM Loss: 0.0405
Client 17 (EMNIST) | Target Loss: 1.2423 | DDPM Loss: 0.0408
Client 18 (EMNIST) | Target Loss: 1.2227 | DDPM Loss: 0.0418
Client 19 (EMNIST) | Target Loss: 1.7364 | DDPM Loss: 0.0403
Client 20 (EMNIST) | Target Loss: 1.8807 | DDPM Loss: 0.0407
Client 22 (CIFAR10) | Target Loss: 2.0101 | DDPM Loss: 0.2353
Client 23 (CIFAR10) | Target Loss: 1.9045 | DDPM Loss: 0.2161
Client 24 (CIFAR10) | Target Loss: 1.8734 | DDPM Loss: 0.2502
